"Amparo","Amp","SumaDePagos","Modelo","Color","Carroceria","MARCA","Referencia1","Referencia2","CLASE_FASECOLDA","TIPO_VEHICULO","SERVICIO","Sexo_Aseg","Edad","Desde","Hasta","Vr_Comercial","Pago"
NA,NA,NA,2013,"ROJO","SEDAN","HYUNDAI","VELOSTER","COUPE","AUTOMOVIL","Livianos","Particular","F",34,"2011-09-29","2012-11-14",56490000,"No"
NA,NA,NA,2010,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","M",67,"2011-10-01","2012-10-01",16400000,"No"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",32,"2012-02-14","2013-02-14",34700000,"No"
NA,NA,NA,2008,"BLANCO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Particular","M",0,"2012-05-30","2013-05-30",12300000,"No"
NA,NA,NA,2008,"VINO TINTO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",53,"2011-06-06","2012-06-06",23400000,"No"
NA,NA,NA,2007,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",35,"2012-06-23","2013-06-23",1.6e+07,"No"
NA,NA,NA,2012,"ROJO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",65,"2011-09-05","2012-09-05",24900000,"No"
NA,NA,NA,2007,"BLANCO","FURGON","HYUNDAI","HD","65","FURGON","Pesados","Publico",NA,0,"2012-07-03","2013-07-03",39800000,"No"
NA,NA,NA,2010,"BLANCO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",44,"2012-07-01","2013-07-01",21250000,"No"
NA,NA,NA,2011,"BLANCO","SEDAN","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",0,"2012-08-10","2013-08-10",20500000,"No"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","ACCENT WEB II","GLS","AUTOMOVIL","Livianos","Particular","M",50,"2012-03-23","2013-03-23",21900000,"No"
NA,NA,NA,2011,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",50,"2012-03-22","2013-03-22",2.3e+07,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",2632957,2009,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",36,"2011-09-11","2012-09-11",15400000,"S�"
